fspace_hash,fsspace_hash,nfeatures,features,targets
1227085987,1145346149,2,"{{-4.727387818712341,-4.727387818712341}}",{0}
1227085987,1142939945,1,{{-2.890371757896165}},{0}
1227085987,-1734086084,1,{{-2.772588722239781}},{8.55371796609861}
-802871442,52553417,18,"{{-0.09412907198595906,-11.806862931584517,-0.6931471805599453,-0.6931471805599453,-1.3862943611198906,-2.858452555233285,-0.8610071948870133,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-1.3862943611198906,-0.7175764855574894,-4.707678616916818,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906,-11.806862931584517}}",{6.1675164908883415}
-680379475,-1146951816,5,"{{-1.8628594276924355,-15.242798338910262,-11.806862931584517,-9.597641509456675,-9.210340371976182},{-10.795669153638222,-15.242798338910262,-11.806862931584517,-9.597641509456675,-9.210340371976182},{-0.5976602103105778,-15.242798338910262,-11.806862931584517,-9.597641509456675,-9.210340371976182}}","{1.791759469228055,0.6931471805599453,1.791759469228055}"
31318540,1086326245,2,"{{-9.597641509456675,-9.727421389904682}}",{10.478639174858365}
767041607,-835369613,11,"{{-1.3862943611198906,-1.3862943611198906,-11.806862931584517,-2.890371757896165,-0.11055918996513683,-1.3862943611198906,-0.7175764855574894,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-11.806862931584517}}",{5.25227342804663}
1227085987,-435581008,2,"{{-2.890371757896165,-2.772588722239781}}",{8.55371796609861}
-744793937,1086326245,2,"{{-9.597641509456675,-9.727421389904682}}",{10.478639174858365}
1084577692,1329330628,11,"{{-9.077078618070912e-05,-0.26706729288945563,-1.0946654775721811,-4.727387818712341,-4.727387818712341,-0.25524763645019544,-2.890371757896165,-0.8560690605005224,-2.772588722239781,-1.2854969272192156,-11.587739081951298},{-9.077078618070912e-05,-0.26706729288945563,-1.0946654775721811,-4.727387818712341,-3.0910424533583156,-0.25524763645019544,-2.890371757896165,-0.8560690605005224,-2.890371757896165,-1.2854969272192156,-11.587739081951298}}","{3.4657359027997265,3.4657359027997265}"
767041607,1242593395,13,"{{-1.3862943611198906,-1.3862943611198906,-11.806862931584517,-2.890371757896165,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-0.7175764855574894,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906,-11.806862931584517}}",{5.147494476813453}
767041607,-220539083,14,"{{-1.3862943611198906,-1.3862943611198906,-11.806862931584517,-2.890371757896165,-1.3862943611198906,-0.11055918996513683,-1.3862943611198906,-0.7175764855574894,-2.839820495321409,-8.047189562170502,-1.0124094052603678,-12.367328027087364,-1.3862943611198906,-11.806862931584517}}",{6.610696044717759}
31318540,1444280349,2,"{{-10.795669153638222,-14.742975821546908},{-0.5976602103105778,-14.742975821546908}}","{0,0}"
1227085987,-539225405,3,"{{-1.4786778793491133,-0.25524763645019544,-14.742975821546908}}",{0}
-744793937,-18718681,4,"{{-0.5976602103105778,-14.742975821546908,-9.597641509456675,-9.727421389904682}}",{9.558529412264617}
-744793937,675726404,1,{{-13.782681534372943}},{4.007333185232458}
-744793937,504258612,3,"{{-0.5976602103105778,-9.597641509456675,-9.727421389904682}}",{13.574046455536203}
1227085987,-1626242966,5,"{{-1.4786778793491133,-0.25524763645019544,-14.742975821546908,-2.890371757896165,-2.772588722239781}}",{6.075346031088684}
1227085987,-1179631526,1,{{-13.782681534372943}},{4.343805421853684}
-744793937,98600269,4,"{{-0.5976602103105778,-15.242798338910262,-9.597641509456675,-9.727421389904682}}",{13.574046455536203}
1227085987,-378238279,4,"{{-1.4786778793491133,-0.25524763645019544,-2.890371757896165,-2.772588722239781}}",{10.41676017994517}
1227085987,1838476143,3,"{{-0.8822919945807889,-15.242798338910262,-2.9002384562043506}}",{0}
1309572083,-2082097188,2,"{{-12.367328027087364,-3.5996482927643294}}",{0}
1743226342,-1818637746,1,{{-0.6931471805599453}},{0.6931471805599453}
-1535781493,-746484269,3,"{{-12.855359365938275,0,-0.2547736274222259}}",{0}
-1535781493,-712367645,8,"{{-9.077078618070912e-05,-4.727387818712341,-3.0910424533583156,0,-0.2547736274222259,-0.8690945747193406,-3.5166088657455363,-1.2854969272192156}}",{14.296889245231515}
-1535781493,-652164161,9,"{{-9.077078618070912e-05,-4.727387818712341,-3.0910424533583156,-9.690851107739814,0,-0.2547736274222259,-0.8690945747193406,-3.5166088657455363,-1.2854969272192156}}",{11.752154941270083}
1336070322,107707022,0,,{13.711641152271442}
-1535781493,1873470639,11,"{{-9.077078618070912e-05,-4.727387818712341,-3.0910424533583156,-9.690851107739814,-1.5040773967762742,0,-0.2547736274222259,-0.8690945747193406,-3.5166088657455363,-2.890371757896165,-1.2854969272192156}}",{11.60679824857907}
1057419857,107707022,0,,{13.711641152271442}
-1831630628,410135299,2,"{{-3.8684411934961305,-1.149159459975536}}",{10.797471323887743}
-1831630628,1970929619,1,{{-3.5996482927643294}},{8.817594036275793}
-1831630628,576164346,4,"{{-12.367328027087364,-3.8684411934961305,-3.5996482927643294,-1.149159459975536}}",{10.785766381818577}
-1831630628,-1200693120,1,{{-14.742975821546908}},{0}
-1831630628,978504740,5,"{{-12.367328027087364,-3.8684411934961305,-3.5996482927643294,-1.149159459975536,-14.742975821546908}}",{10.785766381818577}
-1831630628,-1856875664,2,"{{-13.782681534372943,-6.181818246878414}}",{0}
-1831630628,-909235944,5,"{{-12.367328027087364,-3.8684411934961305,-6.181818246878414,-3.5996482927643294,-1.149159459975536}}",{9.883284845218608}
-1831630628,254599213,7,"{{-2.4849066497880004,-12.367328027087364,-3.8684411934961305,-6.181818246878414,-3.5996482927643294,-1.149159459975536,-2.4849066497880004}}",{8.914357274485015}
-1831630628,348141367,1,{{-12.855359365938275}},{0.6931471805599453}
-1831630628,156266566,8,"{{-12.855359365938275,-2.4849066497880004,-12.367328027087364,-3.8684411934961305,-6.181818246878414,-3.5996482927643294,-1.149159459975536,-2.4849066497880004}}",{9.763017859764734}
-1831630628,-779322205,3,"{{-9.210340371976182,-15.242798338910262,-0.010152371464017962}}",{0}
1309572083,-885630214,3,"{{-3.0566422491165044,-3.8684411934961305,-1.149159459975536}}",{9.055906318669118}
1309572083,-923029439,5,"{{-3.0566422491165044,-12.367328027087364,-3.8684411934961305,-3.5996482927643294,-1.149159459975536}}",{9.047233034106032}
1309572083,1323224961,4,"{{-0.4200593812760278,-0.8979803709043145,-14.742975821546908,-8.591496315572094}}",{0}
-433191473,343750601,6,"{{-2.3978952727983707,-2.4849066497880004,-1.460443378791355,-13.782681534372943,-15.242798338910262,-3.7737113717016606}}",{13.068354821079899}
-433191473,1387095611,7,"{{-14.959841313840421,-2.3978952727983707,-2.4849066497880004,-1.460443378791355,-13.782681534372943,-15.242798338910262,-3.7737113717016606}}",{12.963133151833771}
-433191473,532387918,7,"{{-14.959841313840421,-2.3978952727983707,-2.4849066497880004,-1.460443378791355,-15.242798338910262,-0.5976602103105778,-3.7737113717016606}}",{16.606934834643827}
