query_hash,execution_time_with_aqo,execution_time_without_aqo,planning_time_with_aqo,planning_time_without_aqo,cardinality_error_with_aqo,cardinality_error_without_aqo,executions_with_aqo,executions_without_aqo
1336070322,"{2.410549778,2.4196511669999996,2.419014788,2.4180785140000003,2.423142374,2.440993048,2.433490435,2.423412766,2.421698889,2.421418742,2.4221008939999997,2.413449029,2.438860894,2.428229879,2.4233590499999997,2.419746467,2.424877966,2.418393908,2.41209294,2.422543589}",{},"{0.00782509,0.008029415,0.007722742,0.008270926,0.007786795,0.008197027,0.008223131,0.00768267,0.00817172,0.008131606,0.007738986,0.007660108,0.007928038,0.00787575,0.007869218,0.008010097,0.007803557,0.007821662,0.007769083,0.007637374}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
1227085987,"{0.21894972899999998,0.220387745,0.222335469,0.223745865,0.221276669,0.22130408899999998,0.22436496800000003,0.21950807900000002,0.221054004,0.217341698,0.221850592,0.221349062,0.217001496,0.22045966,0.221364649,0.218876672,0.221755146,0.224513608,0.2229014,0.223806323}",{},"{0.01577416,0.015572173,0.015591212,0.016124261,0.017012362,0.015731647,0.015584737,0.015942731,0.015983945,0.015624308,0.015858886,0.016451163,0.015685535,0.0155868,0.015662867,0.016933939,0.015814187,0.016168362,0.01599292,0.015678575}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},271,0
-1780585141,"{0.000227308999999995,0.00022814100000000115,0.0002459350000000027,0.0002440110000000023,0.0002270500000000064,0.00022068799999999666,0.00022890300000000252,0.00022635799999999595,0.00022335400000000893,0.00022490699999999642,0.0002285540000000058,0.00021974699999999237,0.00022401499999999408,0.00022002699999999764,0.00021908600000000722,0.0002240949999999936,0.00022259199999999368,0.00022591799999999163,0.0002223920000000018,0.00021913599999999478}",{},"{0.104600934,0.100552729,0.099941858,0.09977751,0.099474989,0.099771636,0.099813893,0.100512487,0.099798009,0.100360196,0.100286223,0.100522334,0.100886976,0.100674112,0.100300848,0.100082609,0.100376057,0.100432876,0.099737024,0.100304638}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
-1459678443,"{0.688304999,0.68018346,0.679477,0.677432948,0.67674908,0.6802315130000001,0.677658187,0.6863482919999999,0.676150601,0.680694222,0.672115149,0.67811118,0.6823048060000001,0.696314524,0.688850526,0.687210054,0.6766457969999999,0.675389548,0.674109002,0.674208817}",{},"{0.037831876,0.037912477,0.037057713,0.037807931,0.037105867,0.037287663,0.036731237,0.036978703,0.037489895,0.037262927,0.037861492,0.038490705,0.037821143,0.03746765,0.037217532,0.037252203,0.036924346,0.036888993,0.03794022,0.037085923}",{},"{0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787,0.0023733268619461787}",{},270,0
572864360,"{1.379981911,1.383750491,1.38288832,1.3810469129999998,1.3812014069999998,1.379578288,1.380829501,1.386965273,1.3828775750000002,1.3744359949999998,1.380123658,1.378727654,1.377870195,1.381073859,1.3823872480000001,1.391480585,1.383398582,1.3624429299999998,1.3792358310000001,1.382469381}",{},"{0.007991976,0.008421717,0.008088664,0.008966763,0.008361523,0.008213187,0.008450101,0.007960898,0.008035482,0.008120346,0.008078028,0.008106484,0.008114019,0.008168696,0.008202581,0.008324093,0.008691421,0.00797302,0.008043613,0.008102746}",{},"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",{},270,0
-337957417,"{0.083084507,0.084085084,0.08568070500000001,0.08571907299999999,0.08462877599999999,0.08430968200000001,0.082932416,0.084510161,0.083635686,0.08422170400000001,0.08472324900000001,0.08479246199999999,0.08500618500000001,0.08224409499999999,0.08315228000000001,0.084090421,0.084107745,0.08483859899999999,0.08407244400000001,0.085383819}",{},"{0.063775829,0.063335521,0.063547699,0.063664868,0.063689418,0.063746072,0.06385,0.064034228,0.063611138,0.063510702,0.063798704,0.063187713,0.063823152,0.064248309,0.063797636,0.063461709,0.06394963,0.064057363,0.063378532,0.063694055}",{},"{0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845,0.02688555914557845}",{},270,0
-589613626,"{0.00012611799999995288,0.00015132600000000718,0.00016131599999991142,0.00014642700000000453,0.0001237440000000367,0.00011850399999990824,0.00012729099999997384,0.00014650799999993414,0.0001307070000000632,0.0001204880000000852,0.00013108800000005694,0.00011585899999999594,0.0001209100000000296,0.00013175999999992527,0.00016375999999995727,0.00012213199999999702,0.00018286700000003098,0.00012374500000000843,0.00013201999999989944,0.00013057800000004782}",{},"{0.776079984,0.777677479,0.77469929,0.773148918,0.774259403,0.772947813,0.772234031,0.770573378,0.794891888,0.778284617,0.778029625,0.776395439,0.773040254,0.77736141,0.772297907,0.784166719,0.778918573,0.772925832,0.777230908,0.775512892}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
1086560941,"{0.00019723200000010266,0.00019781400000007388,0.00019038999999998474,0.0001871139999998217,0.00020530900000004237,0.00019712299999996574,0.0002016819999999253,0.0002029350000001262,0.0001893180000001049,0.00018857699999985655,0.0001977850000001169,0.00019731400000000399,0.0001906820000001641,0.0001875250000000772,0.00018886799999995318,0.0001968540000001351,0.00019288600000000322,0.00020476800000013284,0.00020015999999989376,0.0001887080000000374}",{},"{1.226278925,1.216276612,1.218643587,1.2253774100000001,1.223364364,1.220080688,1.229726571,1.223217176,1.214573314,1.215507362,1.217388486,1.222577026,1.2252257069999999,1.216782208,1.215154058,1.21706301,1.223551957,1.214356794,1.218350886,1.2153139099999999}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
1686406195,"{0.0002145350000000018,0.00021594800000000747,0.00022202000000000333,0.00021072799999999337,0.0002087950000000116,0.00021846400000000155,0.00021777200000000496,0.0002219700000000019,0.00022264100000000953,0.00021121000000000334,0.0002207379999999981,0.00021700099999999445,0.00022527699999999595,0.00021626000000000978,0.00021537899999998777,0.0002205579999999957,0.00021308400000000227,0.00021101100000001094,0.0002149580000000012,0.00020718299999999967}",{},"{0.09244386,0.092499133,0.09406947,0.093431022,0.093493839,0.093372689,0.093240334,0.093817365,0.092620341,0.093376342,0.093260429,0.093065491,0.093680315,0.093274843,0.09370849,0.093452017,0.09332168,0.093567165,0.094275377,0.093172984}",{},"{-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1}",{},270,0
-1622839981,"{0.65568198,0.657687611,0.657929244,0.654037208,0.659529354,0.6516415499999999,0.662999932,0.656309947,0.669513921,0.659481881,0.658823682,0.665529735,0.661015573,0.660257069,0.656595825,0.664614832,0.658045278,0.659947465,0.6545794269999999,0.658582112}",{},"{0.036858568,0.036026592,0.036180114,0.036191964,0.036403989,0.036138768,0.036042213,0.03623801,0.036772916,0.035813641,0.036001888,0.036534137,0.0358674,0.03615425,0.035909171,0.03649624,0.036637362,0.036145353,0.036342419,0.036334267}",{},"{0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428,0.002389533191817428}",{},270,0
